dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,feature_set,n_features
esc50,primary,ECOD,0.5569444444444445,0.07825991437211557,0.15180504251897142,0.022410175289449257,0.5087719298245614,0.02334608102729726,0.13333333333333333,0.049690399499995326,full,74
esc50,primary,LOF,0.5483333333333333,0.04531908477059572,0.16756829605305276,0.0433873056800858,0.5248538011695907,0.03618236453439936,0.13333333333333333,0.049690399499995326,full,74
esc50,secondary,HBOS,0.6341666666666667,0.04175453697533583,0.14383774960362777,0.013229555286330104,0.48099415204678364,0.01266119011380759,0.11111111111111112,0.0,full,74
esc50,secondary,GMM,0.6224999999999999,0.04970398486148879,0.20428529052206593,0.06896492495405902,0.5146198830409356,0.03922926276315422,0.13333333333333333,0.049690399499995326,full,74
esc50,secondary,IForest,0.6191666666666666,0.07043323824291141,0.16028135765869012,0.03035778782501289,0.5073099415204678,0.019750374394892273,0.13333333333333333,0.049690399499995326,full,74
esc50,secondary,CBLOF,0.5925,0.05758112902464734,0.14509949354412321,0.021018927986920365,0.4970760233918129,0.015847575576519626,0.13333333333333333,0.049690399499995326,full,74
esc50,secondary,COPOD,0.5755555555555556,0.058006691291332076,0.14904701801547607,0.01743497572041885,0.5043859649122806,0.02391144332426336,0.11111111111111112,0.07856742013183861,full,74
esc50,secondary,KNN,0.5669444444444445,0.08925380823220158,0.1426778672221765,0.027212909170894545,0.5073099415204678,0.015158217363543667,0.15555555555555553,0.06085806194501846,full,74
esc50,secondary,LODA,0.5583333333333333,0.08871510790372945,0.15545111466694037,0.051219944370603565,0.5102339181286549,0.03349836034324442,0.13333333333333333,0.09296222517045283,full,74
esc50,secondary,PCA,0.5527777777777778,0.06977006990336897,0.13683936252007164,0.02030850871493658,0.4912280701754386,0.016015279459215416,0.11111111111111112,0.07856742013183861,full,74
esc50,secondary,OCSVM,0.5336111111111111,0.07473848439313388,0.1306473737315501,0.019303249643109515,0.4985380116959064,0.013279168219725855,0.15555555555555553,0.06085806194501846,full,74
esc50,secondary,ECOD,0.5283333333333333,0.07751443513514747,0.1384745081403303,0.02018354759112251,0.5029239766081871,0.02131195867999016,0.11111111111111112,0.07856742013183861,full,74
esc50,secondary,LOF,0.4955555555555556,0.06823530683425871,0.14463830015271678,0.033541098149889315,0.5146198830409358,0.022883736611840004,0.08888888888888888,0.049690399499995326,full,74
urbansound8k,primary,KNN,0.8388089330024814,0.025802990759746163,0.39556813383203643,0.020641349149671372,0.6723410982726504,0.014080181232625309,0.4861538461538462,0.017541160386140574,mfcc,40
urbansound8k,primary,GMM,0.8363954551390884,0.027916539909359984,0.403403298243113,0.01693786464715832,0.6748431088168377,0.013053281791024156,0.46153846153846156,0.03768445758127966,mfcc,40
urbansound8k,primary,CBLOF,0.8284445605328458,0.026089763218406906,0.3795335563773737,0.03141444253171611,0.667144614834723,0.025651740576008192,0.4861538461538462,0.05171611173529725,mfcc,40
urbansound8k,primary,OCSVM,0.800088807627008,0.028430181364653258,0.37162381245272225,0.025963123127439043,0.6741035035021274,0.020806440951273427,0.49230769230769234,0.03922322702763678,mfcc,40
urbansound8k,primary,IForest,0.7983231030429673,0.026827113593385035,0.32204251202865586,0.025484266159998104,0.6378628430813222,0.020325373506384182,0.42153846153846153,0.05171611173529729,mfcc,40
urbansound8k,primary,LODA,0.7733263680292544,0.033710910651239635,0.33453012193720355,0.050971237412810455,0.6484317755339112,0.03665225180990985,0.44000000000000006,0.07265057817303133,mfcc,40
urbansound8k,primary,PCA,0.767491184537025,0.027677876153965386,0.3271136888617846,0.01984786789119284,0.6435019899232213,0.019262585836524276,0.43692307692307697,0.048161464130764664,mfcc,40
urbansound8k,primary,HBOS,0.764936659266031,0.016108092085534032,0.2561274482585886,0.009810690462960034,0.5919935662586007,0.00576780375339912,0.316923076923077,0.013760418323075632,mfcc,40
